
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","17.6","21.3","14.7","24.8","24.1","28.8","30.3","29.6","29.4","28.2","24.7","19.3"
"02","17.6","19.7","13.3","26.6","24.2","26.0","30.0","30.0","29.9","26.1","24.7","20.0"
"03","17.2","19.3","16.2","26.9","24.3","24.0","29.7","30.1","30.1","25.0","24.3","21.1"
"04","15.7","19.2","19.2","25.9","25.4","24.4","30.2","30.6","30.3","25.0","24.6","21.0"
"05","17.0","19.0","25.1","23.8","26.1","25.6","30.2","29.8","28.5","26.2","23.6","20.5"
"06","17.4","18.0","22.7","23.9","27.2","25.4","29.3","28.5","28.8","27.6","22.2","20.3"
"07","17.8","15.9","16.2","24.5","26.3","26.1","28.3","29.2","28.4","27.7","21.9","20.4"
"08","17.8","14.8","16.4","24.9","26.2","27.7","26.6","29.0","27.3","26.4","22.5","17.7"
"09","18.9","13.4","14.8","21.5","24.2","28.2","28.7","28.7","26.8","25.5","24.1","18.8"
"10","18.2","14.4","16.8","22.7","24.2","28.0","29.4","27.7","28.4","24.5","23.9","19.6"
"11","15.3","15.4","17.1","24.1","26.4","28.0","29.5","28.8","28.8","24.4","24.2","20.5"
"12","16.2","15.3","18.4","26.1","28.0","28.3","30.2","30.0","28.7","25.7","24.4","19.2"
"13","17.5","16.8","18.5","26.0","23.5","28.2","30.0","30.0","28.3","26.5","25.2","18.6"
"14","17.8","19.6","18.8","26.9","22.8","28.6","30.3","28.9","25.9","26.8","24.7","14.6"
"15","17.8","21.8","19.9","26.7","24.0","29.4","30.5","26.9","27.9","26.9","24.2","14.9"
"16","17.5","17.5","21.9","26.4","23.5","29.4","30.0","28.0","29.0","27.1","24.3","15.0"
"17","18.1","17.8","23.4","26.4","23.9","29.4","29.6","27.0","30.0","27.5","24.6","16.5"
"18","19.5","21.3","20.5","26.8","24.2","29.2","29.4","28.3","29.1","27.3","21.8","16.9"
"19","20.8","23.7","17.9","25.9","25.6","29.5","30.5","27.1","29.1","26.9","21.0","14.5"
"20","19.8","24.9","18.6","27.2","26.1","29.7","30.6","27.3","27.6","26.4","21.9","16.2"
"21","17.4","24.6","19.3","27.6","26.7","30.4","29.5","28.1","27.0","26.0","21.5","16.8"
"22","14.5","22.1","21.8","27.3","26.8","30.7","30.3","28.8","25.6","25.9","21.3","14.5"
"23","9.3","18.8","25.1","26.2","26.7","30.6","30.6","29.0","28.1","24.3","21.0","15.5"
"24","11.8","18.5","26.4","25.0","26.1","30.3","27.7","28.8","28.5","24.0","21.7","16.8"
"25","13.2","17.3","26.2","23.7","27.2","29.4","26.2","28.7","28.5","26.2","22.0","18.1"
"26","14.3","15.4","23.9","23.9","26.5","30.2","27.0","29.1","28.6","26.3","20.5","18.9"
"27","14.9","15.5","21.7","25.8","27.2","30.4","28.9","28.8","28.1","26.6","18.4","17.6"
"28","15.1","18.2","24.6","24.6","25.7","30.3","29.1","29.7","28.0","24.7","18.3","14.5"
"29","16.6","19.9","24.8","26.6","24.8","29.3","28.6","29.5","29.0","24.2","17.3","15.3"
"30","18.4","--","25.5","26.2","27.9","29.5","28.9","29.8","29.0","24.6","17.5","17.5"
"31","20.7","--","25.9","--","29.3","--","29.2","30.4","--","25.6","--","17.5"
"平均","16.8","18.6","20.5","25.5","25.6","28.5","29.3","28.9","28.4","26.0","22.4","17.7"
